# IPv4 signatures file (unwanted cloud services and non-human endpoints).
# Canonical link to the online version of this file: https://github.com/CIDRAM/CIDRAM/blob/master/vault/ipv4.dat


# ---
# ASN 46844 ("Sharktech").
# %Listed, Google Malware Dashboard: 37.21%.
# %Listed, CleanTalk.org: 32.62%.
# Stop Forum Spam (SFS) listings: 897.
# Updated: 2017.10.29

72.53.192.0/24 Deny Cloud
72.53.194.0/24 Deny Cloud
86.111.176.0/20 Deny Cloud
98.142.96.0/20 Deny Cloud
103.13.240.0/22 Deny Cloud
104.37.7.0/24 Deny Cloud
104.200.232.0/22 Deny Cloud
104.237.10.0/24 Deny Cloud
104.237.12.0/24 Deny Cloud
104.237.15.0/24 Deny Cloud
104.250.40.0/23 Deny Cloud
104.250.42.0/24 Deny Cloud
104.251.80.0/24 Deny Cloud
104.251.89.0/24 Deny Cloud
104.251.220.0/23 Deny Cloud
107.161.176.0/20 Deny Cloud
107.190.128.0/20 Deny Cloud
109.73.160.0/20 Deny Cloud
138.121.200.0/22 Deny Cloud
138.128.160.0/19 Deny Cloud
143.208.11.0/24 Deny Cloud
143.255.56.0/22 Deny Cloud
162.221.184.0/21 Deny Cloud
177.234.144.0/20 Deny Cloud
179.191.176.0/24 Deny Cloud
184.171.240.0/20 Deny Cloud
185.7.80.0/22 Deny Cloud
185.38.44.0/22 Deny Cloud
185.156.184.0/23 Deny Cloud
185.183.182.0/24 Deny Cloud
185.185.126.0/23 Deny Cloud
185.189.27.0/24 Deny Cloud
186.227.192.0/20 Deny Cloud
187.45.176.0/20 Deny Cloud
196.55.2.0/24 Deny Cloud
198.49.64.0/20 Deny Cloud
198.136.48.0/20 Deny Cloud
199.168.184.0/21 Deny Cloud
201.131.124.0/22 Deny Cloud
209.148.80.0/24 Deny Cloud
209.148.83.0/24 Deny Cloud
209.148.84.0/23 Deny Cloud
209.148.86.0/24 Deny Cloud
209.148.88.0/24 Deny Cloud
209.148.90.0/23 Deny Cloud
209.148.93.0/24 Deny Cloud
209.148.95.0/24 Deny Cloud
212.18.224.0/20 Deny Cloud
Tag: HostDime.com, Inc


# ASN 47583 ("Hostinger International Limited").
# %Listed, Google Malware Dashboard: 0.57%.
# %Listed, CleanTalk.org: 38.48%.
# Stop Forum Spam (SFS) listings: 261.
# Updated: 2017.08.15

31.170.160.0/21 Deny Cloud
31.220.16.0/21 Deny Cloud
31.220.48.0/20 Deny Cloud
31.220.104.0/21 Deny Cloud
93.188.160.0/21 Deny Cloud
145.14.144.0/23 Deny Cloud
145.14.156.0/22 Deny Cloud
153.92.0.0/24 Deny Cloud
153.92.2.0/23 Deny Cloud
153.92.6.0/23 Deny Cloud
153.92.8.0/21 Deny Cloud
153.92.208.0/22 Deny Cloud
156.67.208.0/20 Deny Cloud
185.28.20.0/22 Deny Cloud
195.110.58.0/23 Deny Cloud
212.1.208.0/21 Deny Cloud
Tag: Hostinger Int


# ASNs 13335, 132892, 202623, 203898, 394536, 395747 ("CloudFlare, Inc").
# Updated: 2017.08.15

64.68.192.0/24 Deny Cloud
103.21.246.0/23 Deny Cloud
103.22.200.0/22 Deny Cloud
103.31.4.0/23 Deny Cloud
104.16.0.0/12 Deny Cloud
108.162.208.0/20 Deny Cloud
108.162.226.0/23 Deny Cloud
108.162.228.0/23 Deny Cloud
108.162.235.0/24 Deny Cloud
108.162.236.0/22 Deny Cloud
108.162.240.0/21 Deny Cloud
108.162.248.0/22 Deny Cloud
108.162.252.0/23 Deny Cloud
108.162.255.0/24 Deny Cloud
131.0.72.0/24 Deny Cloud
141.101.64.0/21 Deny Cloud
141.101.72.0/22 Deny Cloud
141.101.76.0/23 Deny Cloud
141.101.82.0/23 Deny Cloud
141.101.84.0/23 Deny Cloud
141.101.88.0/22 Deny Cloud
141.101.94.0/23 Deny Cloud
141.101.96.0/19 Deny Cloud
162.158.0.0/18 Deny Cloud
162.158.64.0/20 Deny Cloud
162.158.82.0/23 Deny Cloud
162.158.84.0/22 Deny Cloud
162.158.88.0/21 Deny Cloud
162.158.96.0/19 Deny Cloud
